DAY,L,W,H,VOL_A,VOL_B,VOL_C,animal,ID
10,6.31,6.03,4.68,93.19034556,194.0686977840537,114.7186395,416.0,18
13,7.68,7.18,5.63,162.46972928,338.5820896719122,197.96121599999998,416.0,18
15,7.2,6.81,5.95,152.67747599999998,283.8931392212736,166.95396,416.0,18
16,8.96,8.13,5.17,197.09131904000006,514.0830886961354,296.1141120000001,416.0,18
20,8.77,8.44,7.1,275.02918786666663,526.5608240796238,312.359336,416.0,18
21,8.57,8.36,5.58,209.21831304,501.43671965181403,299.47693599999997,416.0,18
22,9.38,8.78,6.57,283.16601012000007,617.9900974148347,361.544596,416.0,18
23,9.29,8.76,6.9,293.8646244,607.0370726449246,356.446152,416.0,18
24,9.04,8.67,6.62,271.53381103999993,573.7421764849942,339.7634279999999,416.0,18
27,11.81,10.71,8.2,542.7897258,1176.2361895354913,677.3277105000002,416.0,18
28,12.14,11.4,7.73,559.8625652000001,1346.2347346994343,788.8572,416.0,18
29,12.47,12.53,8.31,679.5117109900001,1614.9600049784258,978.9006114999999,416.0,18
